Número del comprobante,Fecha,Descripción,Código de cuenta,Débito,Crédito,Detalle de la línea
RC-202606-0061,2026-06-01,Recaudo canon junio — Calle 19 # 46-25 Bodega 19,111005,11000000,,Pago de Daniel Palacio
RC-202606-0061,2026-06-01,Recaudo canon junio — Calle 19 # 46-25 Bodega 19,28150505,,10950000,Canon
RC-202606-0061,2026-06-01,Recaudo canon junio — Calle 19 # 46-25 Bodega 19,28150510,,50000,Cuota de administración
RC-202606-0063,2026-06-01,Recaudo canon junio — Calle 6 # 82-49 Local 16,111005,4390000,,Pago de Alejandro Moreno
RC-202606-0063,2026-06-01,Recaudo canon junio — Calle 6 # 82-49 Local 16,28150505,,4150000,Canon
RC-202606-0063,2026-06-01,Recaudo canon junio — Calle 6 # 82-49 Local 16,28150510,,240000,Cuota de administración
RC-202606-0065,2026-06-01,Recaudo canon junio — Calle 59 # 48-40,111005,5800000,,Pago de Mariana López
RC-202606-0065,2026-06-01,Recaudo canon junio — Calle 59 # 48-40,28150505,,5800000,Canon
RC-202606-0066,2026-06-01,Recaudo canon junio — Avenida 41B # 65-56 Apto 1704,111005,4970000,,Pago de Diana Carolina
RC-202606-0066,2026-06-01,Recaudo canon junio — Avenida 41B # 65-56 Apto 1704,28150505,,4400000,Canon
RC-202606-0066,2026-06-01,Recaudo canon junio — Avenida 41B # 65-56 Apto 1704,28150510,,570000,Cuota de administración
RC-202606-0067,2026-06-01,Recaudo canon junio — Calle 40A # 55-12 Apto 1501,111005,2270000,,Pago de Catalina Castro
RC-202606-0067,2026-06-01,Recaudo canon junio — Calle 40A # 55-12 Apto 1501,28150505,,1750000,Canon
RC-202606-0067,2026-06-01,Recaudo canon junio — Calle 40A # 55-12 Apto 1501,28150510,,520000,Cuota de administración
RC-202606-0076,2026-06-01,Recaudo canon junio — Carrera 63 # 90-29 Local 2,111005,3810000,,Pago de Esteban López
RC-202606-0076,2026-06-01,Recaudo canon junio — Carrera 63 # 90-29 Local 2,28150505,,3750000,Canon
RC-202606-0076,2026-06-01,Recaudo canon junio — Carrera 63 # 90-29 Local 2,28150510,,60000,Cuota de administración
CI-202606-0007,2026-06-01,Comisión 8% junio — Carrera 38C # 93-71,28150505,366520,,Descuento de comisión e IVA
CI-202606-0007,2026-06-01,Comisión 8% junio — Carrera 38C # 93-71,415510,,308000,Comisión de administración
CI-202606-0007,2026-06-01,Comisión 8% junio — Carrera 38C # 93-71,240805,,58520,IVA 19 % sobre la comisión
CI-202606-0019,2026-06-01,Comisión 9% junio — Carrera 53 # 18-70 Apto 802,28150505,149940,,Descuento de comisión e IVA
CI-202606-0019,2026-06-01,Comisión 9% junio — Carrera 53 # 18-70 Apto 802,415510,,126000,Comisión de administración
CI-202606-0019,2026-06-01,Comisión 9% junio — Carrera 53 # 18-70 Apto 802,240805,,23940,IVA 19 % sobre la comisión
CI-202606-0020,2026-06-01,Comisión 10% junio — Transversal 43 # 30-93 Local 6,28150505,844900,,Descuento de comisión e IVA
CI-202606-0020,2026-06-01,Comisión 10% junio — Transversal 43 # 30-93 Local 6,415510,,710000,Comisión de administración
CI-202606-0020,2026-06-01,Comisión 10% junio — Transversal 43 # 30-93 Local 6,240805,,134900,IVA 19 % sobre la comisión
CI-202606-0026,2026-06-01,Comisión 8% junio — Carrera 136 # 7-36 Casa 17,28150505,480760,,Descuento de comisión e IVA
CI-202606-0026,2026-06-01,Comisión 8% junio — Carrera 136 # 7-36 Casa 17,415510,,404000,Comisión de administración
CI-202606-0026,2026-06-01,Comisión 8% junio — Carrera 136 # 7-36 Casa 17,240805,,76760,IVA 19 % sobre la comisión
CI-202606-0028,2026-06-01,Comisión 8% junio — Carrera 17 # 83-96 Apto 1502,28150505,147560,,Descuento de comisión e IVA
CI-202606-0028,2026-06-01,Comisión 8% junio — Carrera 17 # 83-96 Apto 1502,415510,,124000,Comisión de administración
CI-202606-0028,2026-06-01,Comisión 8% junio — Carrera 17 # 83-96 Apto 1502,240805,,23560,IVA 19 % sobre la comisión
CI-202606-0036,2026-06-01,Comisión 10% junio — Carrera 10 # 27-27 Apto 803,28150505,571200,,Descuento de comisión e IVA
CI-202606-0036,2026-06-01,Comisión 10% junio — Carrera 10 # 27-27 Apto 803,415510,,480000,Comisión de administración
CI-202606-0036,2026-06-01,Comisión 10% junio — Carrera 10 # 27-27 Apto 803,240805,,91200,IVA 19 % sobre la comisión
CI-202606-0044,2026-06-01,Comisión 10% junio — Carrera 26 # 33-94,28150505,642600,,Descuento de comisión e IVA
CI-202606-0044,2026-06-01,Comisión 10% junio — Carrera 26 # 33-94,415510,,540000,Comisión de administración
CI-202606-0044,2026-06-01,Comisión 10% junio — Carrera 26 # 33-94,240805,,102600,IVA 19 % sobre la comisión
CI-202606-0061,2026-06-01,Comisión 9% junio — Calle 19 # 46-25 Bodega 19,28150505,1172745,,Descuento de comisión e IVA
CI-202606-0061,2026-06-01,Comisión 9% junio — Calle 19 # 46-25 Bodega 19,415510,,985500,Comisión de administración
CI-202606-0061,2026-06-01,Comisión 9% junio — Calle 19 # 46-25 Bodega 19,240805,,187245,IVA 19 % sobre la comisión
CI-202606-0063,2026-06-01,Comisión 10% junio — Calle 6 # 82-49 Local 16,28150505,493850,,Descuento de comisión e IVA
CI-202606-0063,2026-06-01,Comisión 10% junio — Calle 6 # 82-49 Local 16,415510,,415000,Comisión de administración
CI-202606-0063,2026-06-01,Comisión 10% junio — Calle 6 # 82-49 Local 16,240805,,78850,IVA 19 % sobre la comisión
CI-202606-0065,2026-06-01,Comisión 9% junio — Calle 59 # 48-40,28150505,621180,,Descuento de comisión e IVA
CI-202606-0065,2026-06-01,Comisión 9% junio — Calle 59 # 48-40,415510,,522000,Comisión de administración
CI-202606-0065,2026-06-01,Comisión 9% junio — Calle 59 # 48-40,240805,,99180,IVA 19 % sobre la comisión
CI-202606-0066,2026-06-01,Comisión 10% junio — Avenida 41B # 65-56 Apto 1704,28150505,523600,,Descuento de comisión e IVA
CI-202606-0066,2026-06-01,Comisión 10% junio — Avenida 41B # 65-56 Apto 1704,415510,,440000,Comisión de administración
CI-202606-0066,2026-06-01,Comisión 10% junio — Avenida 41B # 65-56 Apto 1704,240805,,83600,IVA 19 % sobre la comisión
CI-202606-0067,2026-06-01,Comisión 9% junio — Calle 40A # 55-12 Apto 1501,28150505,187425,,Descuento de comisión e IVA
CI-202606-0067,2026-06-01,Comisión 9% junio — Calle 40A # 55-12 Apto 1501,415510,,157500,Comisión de administración
CI-202606-0067,2026-06-01,Comisión 9% junio — Calle 40A # 55-12 Apto 1501,240805,,29925,IVA 19 % sobre la comisión
CI-202606-0076,2026-06-01,Comisión 8% junio — Carrera 63 # 90-29 Local 2,28150505,357000,,Descuento de comisión e IVA
CI-202606-0076,2026-06-01,Comisión 8% junio — Carrera 63 # 90-29 Local 2,415510,,300000,Comisión de administración
CI-202606-0076,2026-06-01,Comisión 8% junio — Carrera 63 # 90-29 Local 2,240805,,57000,IVA 19 % sobre la comisión
RC-202606-0008,2026-06-03,Recaudo canon junio — Circular 15 # 99-34 Apto 1801,111005,1870000,,Pago de Valentina Jaramillo
RC-202606-0008,2026-06-03,Recaudo canon junio — Circular 15 # 99-34 Apto 1801,28150505,,1300000,Canon
RC-202606-0008,2026-06-03,Recaudo canon junio — Circular 15 # 99-34 Apto 1801,28150510,,570000,Cuota de administración
RC-202606-0018,2026-06-03,Recaudo canon junio — Carrera 31 # 74-29 Apto 903,111005,1260000,,Pago de Nicolás Marín
RC-202606-0018,2026-06-03,Recaudo canon junio — Carrera 31 # 74-29 Apto 903,28150505,,1000000,Canon
RC-202606-0018,2026-06-03,Recaudo canon junio — Carrera 31 # 74-29 Apto 903,28150510,,260000,Cuota de administración
RC-202606-0021,2026-06-03,Recaudo canon junio — Carrera 17 # 28-49 Apto 801,111005,1550000,,Pago de Mateo Marín
RC-202606-0021,2026-06-03,Recaudo canon junio — Carrera 17 # 28-49 Apto 801,28150505,,1400000,Canon
RC-202606-0021,2026-06-03,Recaudo canon junio — Carrera 17 # 28-49 Apto 801,28150510,,150000,Cuota de administración
RC-202606-0029,2026-06-03,Recaudo canon junio — Avenida 84 # 3-48 Apto 1004,111005,4100000,,Pago de Felipe Pérez
RC-202606-0029,2026-06-03,Recaudo canon junio — Avenida 84 # 3-48 Apto 1004,28150505,,3700000,Canon
RC-202606-0029,2026-06-03,Recaudo canon junio — Avenida 84 # 3-48 Apto 1004,28150510,,400000,Cuota de administración
RC-202606-0040,2026-06-03,Recaudo canon junio — Calle 75 # 10-91 Apto 1002,111005,1460000,,Pago de Leonardo Martínez
RC-202606-0040,2026-06-03,Recaudo canon junio — Calle 75 # 10-91 Apto 1002,28150505,,1100000,Canon
RC-202606-0040,2026-06-03,Recaudo canon junio — Calle 75 # 10-91 Apto 1002,28150510,,360000,Cuota de administración
RC-202606-0041,2026-06-03,Recaudo canon junio — Diagonal 18D # 80-32 Casa 20,111005,2950000,,Pago de Édgar Uribe
RC-202606-0041,2026-06-03,Recaudo canon junio — Diagonal 18D # 80-32 Casa 20,28150505,,2950000,Canon
RC-202606-0047,2026-06-03,Recaudo canon junio — Carrera 35 Bis # 56-82 Of. 1508,111005,2000000,,Pago de Mariana Díaz
RC-202606-0047,2026-06-03,Recaudo canon junio — Carrera 35 Bis # 56-82 Of. 1508,28150505,,1550000,Canon
RC-202606-0047,2026-06-03,Recaudo canon junio — Carrera 35 Bis # 56-82 Of. 1508,28150510,,450000,Cuota de administración
RC-202606-0048,2026-06-03,Recaudo canon junio — Carrera 16 Bis # 97-91 Apto 203,111005,4810000,,Pago de Fabián Hoyos
RC-202606-0048,2026-06-03,Recaudo canon junio — Carrera 16 Bis # 97-91 Apto 203,28150505,,4550000,Canon
RC-202606-0048,2026-06-03,Recaudo canon junio — Carrera 16 Bis # 97-91 Apto 203,28150510,,260000,Cuota de administración
RC-202606-0049,2026-06-03,Recaudo canon junio — Carrera 77 # 16-47 Local 14,111005,2570000,,Pago de Carlos Andrés
RC-202606-0049,2026-06-03,Recaudo canon junio — Carrera 77 # 16-47 Local 14,28150505,,2200000,Canon
RC-202606-0049,2026-06-03,Recaudo canon junio — Carrera 77 # 16-47 Local 14,28150510,,370000,Cuota de administración
RC-202606-0051,2026-06-03,Recaudo canon junio — Calle 85 # 78-24 Apto 1102,111005,4390000,,Pago de Marta Cecilia
RC-202606-0051,2026-06-03,Recaudo canon junio — Calle 85 # 78-24 Apto 1102,28150505,,4100000,Canon
RC-202606-0051,2026-06-03,Recaudo canon junio — Calle 85 # 78-24 Apto 1102,28150510,,290000,Cuota de administración
RC-202606-0056,2026-06-03,Recaudo canon junio — Diagonal 39 # 39-66 Apto 1201,111005,970000,,Pago de Sebastián Restrepo
RC-202606-0056,2026-06-03,Recaudo canon junio — Diagonal 39 # 39-66 Apto 1201,28150505,,750000,Canon
RC-202606-0056,2026-06-03,Recaudo canon junio — Diagonal 39 # 39-66 Apto 1201,28150510,,220000,Cuota de administración
RC-202606-0062,2026-06-03,Recaudo canon junio — Avenida 77 # 25-43 Apto 203,111005,3550000,,Pago de Felipe Ospina
RC-202606-0062,2026-06-03,Recaudo canon junio — Avenida 77 # 25-43 Apto 203,28150505,,2950000,Canon
RC-202606-0062,2026-06-03,Recaudo canon junio — Avenida 77 # 25-43 Apto 203,28150510,,600000,Cuota de administración
RC-202606-0064,2026-06-03,Recaudo canon junio — Avenida 89 # 61-20 Apto 601,111005,1540000,,Pago de Iván Darío
RC-202606-0064,2026-06-03,Recaudo canon junio — Avenida 89 # 61-20 Apto 601,28150505,,1300000,Canon
RC-202606-0064,2026-06-03,Recaudo canon junio — Avenida 89 # 61-20 Apto 601,28150510,,240000,Cuota de administración
RC-202606-0078,2026-06-03,Recaudo canon junio — Avenida 56 # 58-80 Apto 801,111005,2950000,,Pago de Leonardo Ospina
RC-202606-0078,2026-06-03,Recaudo canon junio — Avenida 56 # 58-80 Apto 801,28150505,,2550000,Canon
RC-202606-0078,2026-06-03,Recaudo canon junio — Avenida 56 # 58-80 Apto 801,28150510,,400000,Cuota de administración
RC-202606-0079,2026-06-03,Recaudo canon junio — Carrera 153A # 14-56 Casa 20,111005,2950000,,Pago de Jaime Gómez
RC-202606-0079,2026-06-03,Recaudo canon junio — Carrera 153A # 14-56 Casa 20,28150505,,2950000,Canon
CI-202606-0008,2026-06-03,Comisión 10% junio — Circular 15 # 99-34 Apto 1801,28150505,154700,,Descuento de comisión e IVA
CI-202606-0008,2026-06-03,Comisión 10% junio — Circular 15 # 99-34 Apto 1801,415510,,130000,Comisión de administración
CI-202606-0008,2026-06-03,Comisión 10% junio — Circular 15 # 99-34 Apto 1801,240805,,24700,IVA 19 % sobre la comisión
CI-202606-0018,2026-06-03,Comisión 10% junio — Carrera 31 # 74-29 Apto 903,28150505,119000,,Descuento de comisión e IVA
CI-202606-0018,2026-06-03,Comisión 10% junio — Carrera 31 # 74-29 Apto 903,415510,,100000,Comisión de administración
CI-202606-0018,2026-06-03,Comisión 10% junio — Carrera 31 # 74-29 Apto 903,240805,,19000,IVA 19 % sobre la comisión
CI-202606-0021,2026-06-03,Comisión 8% junio — Carrera 17 # 28-49 Apto 801,28150505,133280,,Descuento de comisión e IVA
CI-202606-0021,2026-06-03,Comisión 8% junio — Carrera 17 # 28-49 Apto 801,415510,,112000,Comisión de administración
CI-202606-0021,2026-06-03,Comisión 8% junio — Carrera 17 # 28-49 Apto 801,240805,,21280,IVA 19 % sobre la comisión
CI-202606-0029,2026-06-03,Comisión 10% junio — Avenida 84 # 3-48 Apto 1004,28150505,440300,,Descuento de comisión e IVA
CI-202606-0029,2026-06-03,Comisión 10% junio — Avenida 84 # 3-48 Apto 1004,415510,,370000,Comisión de administración
CI-202606-0029,2026-06-03,Comisión 10% junio — Avenida 84 # 3-48 Apto 1004,240805,,70300,IVA 19 % sobre la comisión
CI-202606-0040,2026-06-03,Comisión 10% junio — Calle 75 # 10-91 Apto 1002,28150505,130900,,Descuento de comisión e IVA
CI-202606-0040,2026-06-03,Comisión 10% junio — Calle 75 # 10-91 Apto 1002,415510,,110000,Comisión de administración
CI-202606-0040,2026-06-03,Comisión 10% junio — Calle 75 # 10-91 Apto 1002,240805,,20900,IVA 19 % sobre la comisión
CI-202606-0041,2026-06-03,Comisión 8% junio — Diagonal 18D # 80-32 Casa 20,28150505,280840,,Descuento de comisión e IVA
CI-202606-0041,2026-06-03,Comisión 8% junio — Diagonal 18D # 80-32 Casa 20,415510,,236000,Comisión de administración
CI-202606-0041,2026-06-03,Comisión 8% junio — Diagonal 18D # 80-32 Casa 20,240805,,44840,IVA 19 % sobre la comisión
CI-202606-0047,2026-06-03,Comisión 10% junio — Carrera 35 Bis # 56-82 Of. 1508,28150505,184450,,Descuento de comisión e IVA
CI-202606-0047,2026-06-03,Comisión 10% junio — Carrera 35 Bis # 56-82 Of. 1508,415510,,155000,Comisión de administración
CI-202606-0047,2026-06-03,Comisión 10% junio — Carrera 35 Bis # 56-82 Of. 1508,240805,,29450,IVA 19 % sobre la comisión
CI-202606-0048,2026-06-03,Comisión 10% junio — Carrera 16 Bis # 97-91 Apto 203,28150505,541450,,Descuento de comisión e IVA
CI-202606-0048,2026-06-03,Comisión 10% junio — Carrera 16 Bis # 97-91 Apto 203,415510,,455000,Comisión de administración
CI-202606-0048,2026-06-03,Comisión 10% junio — Carrera 16 Bis # 97-91 Apto 203,240805,,86450,IVA 19 % sobre la comisión
CI-202606-0049,2026-06-03,Comisión 10% junio — Carrera 77 # 16-47 Local 14,28150505,261800,,Descuento de comisión e IVA
CI-202606-0049,2026-06-03,Comisión 10% junio — Carrera 77 # 16-47 Local 14,415510,,220000,Comisión de administración
CI-202606-0049,2026-06-03,Comisión 10% junio — Carrera 77 # 16-47 Local 14,240805,,41800,IVA 19 % sobre la comisión
CI-202606-0051,2026-06-03,Comisión 8% junio — Calle 85 # 78-24 Apto 1102,28150505,390320,,Descuento de comisión e IVA
CI-202606-0051,2026-06-03,Comisión 8% junio — Calle 85 # 78-24 Apto 1102,415510,,328000,Comisión de administración
CI-202606-0051,2026-06-03,Comisión 8% junio — Calle 85 # 78-24 Apto 1102,240805,,62320,IVA 19 % sobre la comisión
CI-202606-0056,2026-06-03,Comisión 10% junio — Diagonal 39 # 39-66 Apto 1201,28150505,89250,,Descuento de comisión e IVA
CI-202606-0056,2026-06-03,Comisión 10% junio — Diagonal 39 # 39-66 Apto 1201,415510,,75000,Comisión de administración
CI-202606-0056,2026-06-03,Comisión 10% junio — Diagonal 39 # 39-66 Apto 1201,240805,,14250,IVA 19 % sobre la comisión
CI-202606-0062,2026-06-03,Comisión 10% junio — Avenida 77 # 25-43 Apto 203,28150505,351050,,Descuento de comisión e IVA
CI-202606-0062,2026-06-03,Comisión 10% junio — Avenida 77 # 25-43 Apto 203,415510,,295000,Comisión de administración
CI-202606-0062,2026-06-03,Comisión 10% junio — Avenida 77 # 25-43 Apto 203,240805,,56050,IVA 19 % sobre la comisión
CI-202606-0064,2026-06-03,Comisión 8% junio — Avenida 89 # 61-20 Apto 601,28150505,123760,,Descuento de comisión e IVA
CI-202606-0064,2026-06-03,Comisión 8% junio — Avenida 89 # 61-20 Apto 601,415510,,104000,Comisión de administración
CI-202606-0064,2026-06-03,Comisión 8% junio — Avenida 89 # 61-20 Apto 601,240805,,19760,IVA 19 % sobre la comisión
CI-202606-0078,2026-06-03,Comisión 10% junio — Avenida 56 # 58-80 Apto 801,28150505,303450,,Descuento de comisión e IVA
CI-202606-0078,2026-06-03,Comisión 10% junio — Avenida 56 # 58-80 Apto 801,415510,,255000,Comisión de administración
CI-202606-0078,2026-06-03,Comisión 10% junio — Avenida 56 # 58-80 Apto 801,240805,,48450,IVA 19 % sobre la comisión
CI-202606-0079,2026-06-03,Comisión 10% junio — Carrera 153A # 14-56 Casa 20,28150505,351050,,Descuento de comisión e IVA
CI-202606-0079,2026-06-03,Comisión 10% junio — Carrera 153A # 14-56 Casa 20,415510,,295000,Comisión de administración
CI-202606-0079,2026-06-03,Comisión 10% junio — Carrera 153A # 14-56 Casa 20,240805,,56050,IVA 19 % sobre la comisión
CE-202606-0007,2026-06-03,Giro a propietario junio — Carrera 38C # 93-71,28150505,3483480,,Giro a Esteban Ramírez
CE-202606-0007,2026-06-03,Giro a propietario junio — Carrera 38C # 93-71,511580,13934,,GMF 4×1000
CE-202606-0007,2026-06-03,Giro a propietario junio — Carrera 38C # 93-71,111005,,3497414,NEQUI 3130696226
CE-202606-0019,2026-06-03,Giro a propietario junio — Carrera 53 # 18-70 Apto 802,28150505,1250060,,Giro a Esteban Ramírez
CE-202606-0019,2026-06-03,Giro a propietario junio — Carrera 53 # 18-70 Apto 802,511580,5000,,GMF 4×1000
CE-202606-0019,2026-06-03,Giro a propietario junio — Carrera 53 # 18-70 Apto 802,111005,,1255060,NEQUI 3130696226
CE-202606-0020,2026-06-03,Giro a propietario junio — Transversal 43 # 30-93 Local 6,28150505,6255100,,Giro a Mónica Liliana
CE-202606-0020,2026-06-03,Giro a propietario junio — Transversal 43 # 30-93 Local 6,511580,25020,,GMF 4×1000
CE-202606-0020,2026-06-03,Giro a propietario junio — Transversal 43 # 30-93 Local 6,111005,,6280120,BANCOLOMBIA 65144590925
CE-202606-0026,2026-06-03,Giro a propietario junio — Carrera 136 # 7-36 Casa 17,28150505,4569240,,Giro a Constructora Altavista
CE-202606-0026,2026-06-03,Giro a propietario junio — Carrera 136 # 7-36 Casa 17,511580,18277,,GMF 4×1000
CE-202606-0026,2026-06-03,Giro a propietario junio — Carrera 136 # 7-36 Casa 17,111005,,4587517,DAVIVIENDA 533431584942
CE-202606-0028,2026-06-03,Giro a propietario junio — Carrera 17 # 83-96 Apto 1502,28150505,1402440,,Giro a Juliana Mejía
CE-202606-0028,2026-06-03,Giro a propietario junio — Carrera 17 # 83-96 Apto 1502,511580,5610,,GMF 4×1000
CE-202606-0028,2026-06-03,Giro a propietario junio — Carrera 17 # 83-96 Apto 1502,111005,,1408050,NEQUI 3210927375
CE-202606-0036,2026-06-03,Giro a propietario junio — Carrera 10 # 27-27 Apto 803,28150505,4228800,,Giro a Camilo Arango
CE-202606-0036,2026-06-03,Giro a propietario junio — Carrera 10 # 27-27 Apto 803,511580,16915,,GMF 4×1000
CE-202606-0036,2026-06-03,Giro a propietario junio — Carrera 10 # 27-27 Apto 803,111005,,4245715,NEQUI 3500194047
CE-202606-0044,2026-06-03,Giro a propietario junio — Carrera 26 # 33-94,28150505,4757400,,Giro a Mariana Pérez
CE-202606-0044,2026-06-03,Giro a propietario junio — Carrera 26 # 33-94,511580,19030,,GMF 4×1000
CE-202606-0044,2026-06-03,Giro a propietario junio — Carrera 26 # 33-94,111005,,4776430,BANCOLOMBIA 25607323142
CE-202606-0061,2026-06-03,Giro a propietario junio — Calle 19 # 46-25 Bodega 19,28150505,9777255,,Giro a Inmobiliaria Santa
CE-202606-0061,2026-06-03,Giro a propietario junio — Calle 19 # 46-25 Bodega 19,511580,39109,,GMF 4×1000
CE-202606-0061,2026-06-03,Giro a propietario junio — Calle 19 # 46-25 Bodega 19,111005,,9816364,BANCO_BOGOTA 263767795
CE-202606-0063,2026-06-03,Giro a propietario junio — Calle 6 # 82-49 Local 16,28150505,3656150,,Giro a Iván Darío
CE-202606-0063,2026-06-03,Giro a propietario junio — Calle 6 # 82-49 Local 16,511580,14625,,GMF 4×1000
CE-202606-0063,2026-06-03,Giro a propietario junio — Calle 6 # 82-49 Local 16,111005,,3670775,BANCO_BOGOTA 445110702
CE-202606-0065,2026-06-03,Giro a propietario junio — Calle 59 # 48-40,28150505,5178820,,Giro a Luisa Fernanda
CE-202606-0065,2026-06-03,Giro a propietario junio — Calle 59 # 48-40,511580,20715,,GMF 4×1000
CE-202606-0065,2026-06-03,Giro a propietario junio — Calle 59 # 48-40,111005,,5199535,BANCO_CAJA_SOCIAL 67867534509
CE-202606-0066,2026-06-03,Giro a propietario junio — Avenida 41B # 65-56 Apto 1704,28150505,3876400,,Giro a Constructora Altavista
CE-202606-0066,2026-06-03,Giro a propietario junio — Avenida 41B # 65-56 Apto 1704,511580,15506,,GMF 4×1000
CE-202606-0066,2026-06-03,Giro a propietario junio — Avenida 41B # 65-56 Apto 1704,111005,,3891906,DAVIVIENDA 533431584942
CE-202606-0067,2026-06-03,Giro a propietario junio — Calle 40A # 55-12 Apto 1501,28150505,1562575,,Giro a Angélica Agudelo
CE-202606-0067,2026-06-03,Giro a propietario junio — Calle 40A # 55-12 Apto 1501,511580,6250,,GMF 4×1000
CE-202606-0067,2026-06-03,Giro a propietario junio — Calle 40A # 55-12 Apto 1501,111005,,1568825,BANCOLOMBIA 40722395515
CE-202606-0076,2026-06-03,Giro a propietario junio — Carrera 63 # 90-29 Local 2,28150505,3393000,,Giro a Santiago Betancur
CE-202606-0076,2026-06-03,Giro a propietario junio — Carrera 63 # 90-29 Local 2,511580,13572,,GMF 4×1000
CE-202606-0076,2026-06-03,Giro a propietario junio — Carrera 63 # 90-29 Local 2,111005,,3406572,BANCOLOMBIA 65151578843
CA-202606-0016,2026-06-04,Pago administración junio — Carrera 53 # 18-70 Apto 802,28150510,220000,,Cuota de administración
CA-202606-0016,2026-06-04,Pago administración junio — Carrera 53 # 18-70 Apto 802,111005,,220000,Transferencia a la copropiedad
CA-202606-0017,2026-06-04,Pago administración junio — Transversal 43 # 30-93 Local 6,28150510,190000,,Cuota de administración
CA-202606-0017,2026-06-04,Pago administración junio — Transversal 43 # 30-93 Local 6,111005,,190000,Transferencia a la copropiedad
CA-202606-0023,2026-06-04,Pago administración junio — Carrera 17 # 83-96 Apto 1502,28150510,240000,,Cuota de administración
CA-202606-0023,2026-06-04,Pago administración junio — Carrera 17 # 83-96 Apto 1502,111005,,240000,Transferencia a la copropiedad
CA-202606-0029,2026-06-04,Pago administración junio — Carrera 10 # 27-27 Apto 803,28150510,530000,,Cuota de administración
CA-202606-0029,2026-06-04,Pago administración junio — Carrera 10 # 27-27 Apto 803,111005,,530000,Transferencia a la copropiedad
CA-202606-0050,2026-06-04,Pago administración junio — Calle 19 # 46-25 Bodega 19,28150510,50000,,Cuota de administración
CA-202606-0050,2026-06-04,Pago administración junio — Calle 19 # 46-25 Bodega 19,111005,,50000,Transferencia a la copropiedad
CA-202606-0052,2026-06-04,Pago administración junio — Calle 6 # 82-49 Local 16,28150510,240000,,Cuota de administración
CA-202606-0052,2026-06-04,Pago administración junio — Calle 6 # 82-49 Local 16,111005,,240000,Transferencia a la copropiedad
CA-202606-0054,2026-06-04,Pago administración junio — Avenida 41B # 65-56 Apto 1704,28150510,570000,,Cuota de administración
CA-202606-0054,2026-06-04,Pago administración junio — Avenida 41B # 65-56 Apto 1704,111005,,570000,Transferencia a la copropiedad
CA-202606-0055,2026-06-04,Pago administración junio — Calle 40A # 55-12 Apto 1501,28150510,520000,,Cuota de administración
CA-202606-0055,2026-06-04,Pago administración junio — Calle 40A # 55-12 Apto 1501,111005,,520000,Transferencia a la copropiedad
CA-202606-0063,2026-06-04,Pago administración junio — Carrera 63 # 90-29 Local 2,28150510,60000,,Cuota de administración
CA-202606-0063,2026-06-04,Pago administración junio — Carrera 63 # 90-29 Local 2,111005,,60000,Transferencia a la copropiedad
RC-202606-0001,2026-06-05,Recaudo canon junio — Calle 75 # 57-31 Apto 802,111005,2950000,,Pago de Claudia Patricia
RC-202606-0001,2026-06-05,Recaudo canon junio — Calle 75 # 57-31 Apto 802,28150505,,2400000,Canon
